,index,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,54,22021,1628960,0022100001,2021-10-19,MIL vs. BKN,W,28,3,10,0.3,3,10,0.3,1,1,1.0,0,4,4,6,2,0,0,0,10,23,1
1,53,22021,1628960,0022100015,2021-10-21,MIL @ MIA,L,29,5,11,0.455,2,8,0.25,2,2,1.0,0,3,3,1,0,0,1,2,14,-18,1
2,52,22021,1628960,0022100032,2021-10-23,MIL @ SAS,W,26,4,11,0.364,2,8,0.25,0,0,0.0,0,5,5,1,1,0,0,0,10,1,1
3,51,22021,1628960,0022100042,2021-10-25,MIL @ IND,W,32,5,11,0.455,4,9,0.444,5,5,1.0,0,4,4,0,1,1,1,3,19,3,1
4,50,22021,1628960,0022100060,2021-10-27,MIL vs. MIN,L,30,5,11,0.455,3,8,0.375,0,0,0.0,1,3,4,1,1,0,0,3,13,9,1
5,49,22021,1628960,0022100085,2021-10-30,MIL vs. SAS,L,29,4,11,0.364,4,9,0.444,0,0,0.0,1,4,5,1,0,0,1,2,12,-2,1
6,48,22021,1628960,0022100091,2021-10-31,MIL vs. UTA,L,31,6,14,0.429,5,10,0.5,1,2,0.5,2,4,6,0,0,0,1,5,18,-3,1
7,47,22021,1628960,0022100103,2021-11-02,MIL @ DET,W,21,2,8,0.25,2,6,0.333,2,2,1.0,0,3,3,0,0,2,0,1,8,15,1
8,46,22021,1628960,0022100128,2021-11-05,MIL vs. NYK,L,31,8,12,0.667,6,9,0.667,0,0,0.0,1,4,5,2,1,1,0,2,22,-11,1
9,45,22021,1628960,0022100142,2021-11-07,MIL @ WAS,L,34,6,12,0.5,3,8,0.375,4,4,1.0,0,1,1,2,4,0,1,0,19,-2,1
10,44,22021,1628960,0022100155,2021-11-09,MIL @ PHI,W,33,8,13,0.615,5,9,0.556,4,4,1.0,0,2,2,3,0,0,0,1,25,18,1
11,43,22021,1628960,0022100161,2021-11-10,MIL @ NYK,W,28,5,13,0.385,5,11,0.455,0,0,0.0,1,4,5,2,0,1,2,2,15,7,1
12,42,22021,1628960,0022100175,2021-11-12,MIL @ BOS,L,35,6,16,0.375,5,9,0.556,4,5,0.8,1,3,4,0,1,0,1,4,21,10,1
13,41,22021,1628960,0022100193,2021-11-14,MIL @ ATL,L,31,7,11,0.636,4,7,0.571,0,0,0.0,1,2,3,1,1,0,2,2,18,-12,1
14,40,22021,1628960,0022100219,2021-11-17,MIL vs. LAL,W,31,2,6,0.333,1,5,0.2,0,0,0.0,1,7,8,1,0,0,0,1,5,-13,1
15,39,22021,1628960,0022100234,2021-11-19,MIL vs. OKC,W,29,4,9,0.444,2,5,0.4,1,1,1.0,0,2,2,1,0,0,0,1,11,14,1
16,38,22021,1628960,0022100244,2021-11-20,MIL vs. ORL,W,29,6,14,0.429,4,11,0.364,0,0,0.0,2,5,7,1,0,0,1,0,16,9,1
17,37,22021,1628960,0022100258,2021-11-22,MIL vs. ORL,W,19,5,8,0.625,2,3,0.667,2,3,0.667,0,2,2,1,0,0,1,1,14,28,1
18,36,22021,1628960,0022100273,2021-11-24,MIL vs. DET,W,24,1,6,0.167,1,4,0.25,0,0,0.0,0,3,3,2,0,0,1,1,3,17,1
19,35,22021,1628960,0022100288,2021-11-26,MIL @ DEN,W,24,3,6,0.5,2,5,0.4,2,2,1.0,0,2,2,0,0,0,0,2,10,5,1
20,34,22021,1628960,0022100301,2021-11-28,MIL @ IND,W,30,3,5,0.6,2,4,0.5,0,0,0.0,0,2,2,4,1,1,0,1,8,17,1
21,33,22021,1628960,0022100324,2021-12-01,MIL vs. CHA,W,30,6,9,0.667,3,5,0.6,1,2,0.5,1,6,7,2,2,0,2,4,16,1,1
22,32,22021,1628960,0022100329,2021-12-02,MIL @ TOR,L,32,4,10,0.4,2,6,0.333,0,0,0.0,1,0,1,0,0,0,0,0,10,8,1
23,31,22021,1628960,0022100358,2021-12-06,MIL vs. CLE,W,26,2,7,0.286,2,5,0.4,0,0,0.0,0,1,1,0,1,2,0,0,6,-2,1
24,30,22021,1628960,0022100370,2021-12-08,MIL @ MIA,L,25,3,9,0.333,2,7,0.286,0,0,0.0,0,4,4,1,0,0,0,0,8,-14,1
25,29,22021,1628960,0022100386,2021-12-10,MIL @ HOU,W,28,3,8,0.375,2,7,0.286,0,1,0.0,1,2,3,0,1,0,2,0,8,0,1
26,28,22021,1628960,0022100398,2021-12-12,MIL @ NYK,W,29,5,9,0.556,2,4,0.5,0,0,0.0,0,3,3,2,1,0,1,1,12,20,1
27,27,22021,1628960,0022100408,2021-12-13,MIL @ BOS,L,32,4,9,0.444,2,6,0.333,0,0,0.0,0,1,1,1,2,1,1,2,10,-19,1
28,26,22021,1628960,0022100421,2021-12-15,MIL vs. IND,W,30,2,13,0.154,1,6,0.167,1,1,1.0,0,4,4,1,1,1,1,1,6,10,1
29,25,22021,1628960,0022100438,2021-12-17,MIL @ NOP,L,39,8,17,0.471,7,12,0.583,2,2,1.0,0,3,3,0,3,1,2,3,25,-10,1
30,24,22021,1628960,0022100481,2021-12-23,MIL @ DAL,W,18,2,8,0.25,1,7,0.143,0,0,0.0,0,3,3,0,0,2,0,3,5,1,1
31,23,22021,1628960,0022100489,2021-12-25,MIL vs. BOS,W,26,0,4,0.0,0,3,0.0,2,2,1.0,0,2,2,3,1,0,0,1,2,-4,1
32,22,22021,1628960,0022100508,2021-12-28,MIL @ ORL,W,23,1,4,0.25,1,2,0.5,0,0,0.0,0,1,1,3,0,0,0,2,3,-2,1
33,21,22021,1628960,0022100526,2021-12-30,MIL @ ORL,W,23,1,5,0.2,1,4,0.25,1,2,0.5,0,0,0,0,1,0,0,0,4,-3,1
34,20,22021,1628960,0022100539,2022-01-01,MIL vs. NOP,W,31,6,14,0.429,4,12,0.333,0,0,0.0,0,4,4,2,0,1,0,1,16,5,1
35,19,22021,1628960,0022100556,2022-01-03,MIL vs. DET,L,27,2,11,0.182,1,8,0.125,0,0,0.0,2,2,4,3,2,0,1,0,5,-18,1
36,18,22021,1628960,0022100627,2022-01-13,MIL vs. GSW,W,27,6,10,0.6,3,7,0.429,0,0,0.0,0,5,5,0,2,1,1,1,15,15,1
37,17,22021,1628960,0022100641,2022-01-15,MIL vs. TOR,L,28,6,11,0.545,3,6,0.5,3,4,0.75,2,2,4,3,1,0,0,3,18,11,1
38,16,22021,1628960,0022100660,2022-01-17,MIL @ ATL,L,29,3,6,0.5,1,2,0.5,2,2,1.0,0,2,2,4,1,0,0,2,9,7,1
39,15,22021,1628960,0022100674,2022-01-19,MIL vs. MEM,W,26,3,8,0.375,1,5,0.2,2,2,1.0,1,2,3,0,1,0,1,1,9,3,1
40,14,22021,1628960,0022100690,2022-01-21,MIL vs. CHI,W,20,2,5,0.4,1,2,0.5,0,0,0.0,0,3,3,0,1,0,1,3,5,0,1
41,13,22021,1628960,0022100744,2022-01-28,MIL vs. NYK,W,30,4,8,0.5,3,7,0.429,4,4,1.0,2,5,7,2,2,0,0,1,15,20,1
42,12,22021,1628960,0022100756,2022-01-30,MIL vs. DEN,L,31,4,10,0.4,2,5,0.4,1,1,1.0,2,2,4,2,0,0,1,0,11,-15,1
43,11,22021,1628960,0022100768,2022-02-01,MIL vs. WAS,W,32,4,9,0.444,2,5,0.4,0,0,0.0,2,4,6,6,1,0,1,0,10,17,1
44,10,22021,1628960,0022100800,2022-02-05,MIL @ POR,W,25,3,6,0.5,2,4,0.5,0,0,0.0,0,4,4,1,0,0,0,0,8,32,1
45,9,22021,1628960,0022100822,2022-02-08,MIL @ LAL,W,27,5,9,0.556,1,2,0.5,1,2,0.5,0,1,1,4,1,0,0,1,12,12,1
46,8,22021,1628960,0022100836,2022-02-10,MIL @ PHX,L,25,3,8,0.375,2,6,0.333,0,0,0.0,1,1,2,1,1,0,0,2,8,-18,1
47,7,22021,1628960,0022100862,2022-02-14,MIL vs. POR,L,32,5,12,0.417,4,10,0.4,0,0,0.0,0,3,3,1,2,0,0,1,14,-14,1
48,6,22021,1628960,0022100870,2022-02-15,MIL vs. IND,W,16,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,2,0,0,0,1,3,1,1
49,5,22021,1628960,0022100910,2022-02-26,MIL vs. BKN,L,22,2,4,0.5,1,3,0.333,2,3,0.667,0,1,1,1,0,0,1,3,7,20,1
50,4,22021,1628960,0022100924,2022-02-28,MIL vs. CHA,W,18,4,7,0.571,3,6,0.5,0,0,0.0,0,1,1,1,0,0,0,2,11,22,1
51,3,22021,1628960,0022100936,2022-03-02,MIL vs. MIA,W,24,4,7,0.571,1,2,0.5,0,0,0.0,0,7,7,1,0,0,1,2,9,1,1
52,2,22021,1628960,0022100949,2022-03-04,MIL @ CHI,W,31,2,6,0.333,1,5,0.2,2,2,1.0,0,4,4,0,0,0,0,2,7,-5,1
53,1,22021,1628960,0022100961,2022-03-06,MIL vs. PHX,W,32,3,5,0.6,2,3,0.667,2,2,1.0,0,1,1,6,2,0,1,3,10,17,1
54,0,22021,1628960,0022100984,2022-03-09,MIL vs. ATL,W,28,4,9,0.444,3,7,0.429,0,0,0.0,1,4,5,3,1,0,0,1,11,6,1
